tpeak,amp,ed_s,fall
1738.824337,1.026263593,10.63390802,0.003844634
1739.218789,1.122657969,67.37046637,0.00602643
1740.225749,1.009765384,4.125050598,0.004182432
1740.368807,1.171015029,49.15005259,0.002471319
1740.499364,1.007397426,1.601376347,0.001753882
1740.868814,1.051936122,50.50787535,0.01
1741.029927,1.020201674,15.74019084,0.00880121
1741.302153,1.014842297,3.15032377,0.001723541
1741.574379,1.010601168,3.905167985,0.003563984
1742.249388,1.005301539,3.470569418,0.007231925
1742.386889,1.007906878,1.577634582,0.001522585
1742.536891,1.008286319,5.156550086,0.007195992
1742.628559,1.008090422,5.727350835,0.008867063
1742.827172,1.009548234,5.2617447,0.005950474
1742.932729,1.014237549,6.589767488,0.004706299
1743.288289,1.013202548,7.773516022,0.006932775
1743.399401,1.007634277,4.294165272,0.006454278
1743.936907,1.009192831,4.763068274,0.005523818
1744.13552,1.003336528,3.576992217,0.01
1744.509136,1.005043125,4.075225041,0.009033547
1745.185531,1.004701942,1.535951528,0.00296912
1745.563313,1.008524642,1.966288639,0.001871827
1745.579979,1.005153862,1.404705084,0.002254199
1745.727203,1.004132341,1.505444896,0.003348483
1746.504988,1.024810268,8.930924821,0.00347378
1746.573044,1.004614115,1.940521689,0.0042844
1746.907769,1.004769384,2.352101144,0.005534345
1746.936936,1.006403264,4.615476993,0.007414912
1747.038326,1.004266128,2.807902706,0.007765361
1747.141105,1.004623993,1.21636724,0.002398992
1747.509163,1.019813513,7.324304071,0.00360546
1748.135557,1.003005993,1.139676498,0.003602973
1748.239725,1.003286269,1.503273088,0.00425447
1751.907814,1.010901538,7.329447417,0.007790586
1752.021703,1.004526355,1.942014664,0.004144831
1752.338371,1.004161253,2.690381887,0.007317642
1752.66476,1.003668805,1.575353261,0.004274028
1752.721705,1.010816591,8.817338915,0.008629931
1752.86476,1.004250395,3.092570863,0.007456179
1753.316149,1.0337431,16.26376316,0.004686388
1753.456427,1.00287039,0.757956331,0.002301482
1753.566149,1.002477024,0.526775483,0.001669787
1753.580038,1.004889348,2.282308234,0.004670843
1753.668927,1.009208089,2.874518174,0.002962922
1754.270316,1.002256029,1.938636234,0.01
1754.417538,1.010623193,8.2876967,0.009868518
1754.798093,1.012686983,9.18737714,0.008553961
1755.048092,1.00399395,2.32185947,0.005834814
1755.464758,1.00698969,2.807382777,0.004427792
1755.864757,1.01742925,3.282957597,0.00140543
1756.153644,1.003464136,2.251812509,0.007607022
1756.982808,1.004027143,2.113999891,0.006131551
1757.073085,1.002155899,1.420534192,0.007074256
1757.192529,1.00585169,4.285737605,0.009300157
1757.22864,1.004879196,1.805859627,0.003341483
1757.770304,1.004204631,3.487851215,0.01
1757.799471,1.011252766,4.162558374,0.003734021
1757.896693,1.038315791,36.34173685,0.01
1758.127247,1.010386465,10.1200204,0.01
1759.092519,1.00631819,1.05692379,0.001121765
1759.185574,1.002522237,1.005940451,0.004019355
1759.255018,1.002233022,1.336166669,0.006047809
1759.471684,1.056610183,31.71974338,0.006060694
1759.585572,1.006019705,2.305661999,0.00401421
1759.635571,1.005961946,2.835885154,0.005031125
1759.667516,1.00250799,0.471364142,0.001261911
1759.84807,1.00247643,1.033077337,0.00426653
1760.13279,1.007873481,5.856619646,0.009114526
1760.216123,1.009722338,3.965864412,0.003755454
1760.263345,1.009732044,1.490150562,0.000906996
1760.275845,1.005786503,3.550573264,0.006819081
1760.3314,1.002484567,1.908119937,0.009935016
1760.339733,1.001461417,0.332459237,0.001642212
1760.355011,1.002415627,0.876875319,0.003580871
1760.559176,1.004413081,1.099918066,0.00210127
1760.70362,1.006677406,6.540590184,0.01
